driver_name,normalized_driver_name,dp_drivers_pack_extended_sinks_signed_timeout300_run1,dp_drivers_pack_extended_sinks_signed_timeout300_run1_time_taken,dp_drivers_pack_extended_sinks_signed_timeout300_run1_handle_leak_count,dp_drivers_pack_extended_sinks_signed_timeout300_run1_handle_exposure_count,dp_drivers_pack_extended_sinks_signed_timeout300_run1_rw_primitive_count
AceecaUSBDx64.sys,aceecausbd.sys,no sinks found,126.35625982284546,0,0,0
AcpiCtlDrv.sys,acpictldrv.sys,VULNERABLE,256.22372484207153,0,0,0
Ak27x64.sys,ak27.sys,,4.127962112426758,0,0,0
Ak27x86.sys,ak27.sys,,4.334892988204956,0,0,0
AlcGener.sys,alcgener.sys,,3.91636323928833,0,0,0
AlcGener2.sys,alcgener2.sys,,3.912806272506714,0,0,0
AlcGener2_1.sys,alcgener2_1.sys,,3.843952178955078,0,0,0
AlcGener_1.sys,alcgener_1.sys,,4.054359674453735,0,0,0
AmPeStor.sys,ampestor.sys,timeout,300.25428009033203,0,0,0
AmPeStorU.sys,ampestoru.sys,timeout,300.3014123439789,0,0,0
AmPeStorU_1.sys,ampestoru_1.sys,timeout,300.32252955436707,0,0,0
AmPeStor_1.sys,ampestor_1.sys,timeout,300.30472469329834,0,0,0
AmUHubftr.sys,amuhubftr.sys,timeout,300.67852234840393,0,0,0
AmUHubftr_1.sys,amuhubftr_1.sys,timeout,300.1870346069336,0,0,0
AmUStor.sys,amustor.sys,timeout,300.48371863365173,0,0,0
AmUStorU.sys,amustoru.sys,timeout,300.3473370075226,0,0,0
AmUStorU_1.sys,amustoru_1.sys,VULNERABLE,300.3983428478241,1,0,0
AmUStor_1.sys,amustor_1.sys,timeout,300.3275074958801,0,0,0
AmdGpio.sys,amdgpio.sys,,3.748426914215088,0,0,0
AmdHSMPDriver.sys,amdhsmpdriver.sys,,3.926252841949463,0,0,0
AmdLpcFilterDriver.sys,amdlpcfilterdriver.sys,,4.041892051696777,0,0,0
AmdSMBus.sys,amdsmbus.sys,,3.6715755462646484,0,0,0
AmdSmf.sys,amdsmf.sys,,4.061595678329468,0,0,0
Amddfltr.sys,amddfltr.sys,no sinks found,4.455893278121948,0,0,0
Amddfltr64.sys,amddfltr.sys,no sinks found,5.016376256942749,0,0,0
ApHidFiltr.sys,aphidfiltr.sys,,3.8971338272094727,0,0,0
ApHidFiltrSW.sys,aphidfiltrsw.sys,,3.98928165435791,0,0,0
ApHidFiltrSW_1.sys,aphidfiltrsw_1.sys,,4.1187803745269775,0,0,0
ApHidFiltr_1.sys,aphidfiltr_1.sys,,3.9484145641326904,0,0,0
ApHidFiltr_PTP_SP.sys,aphidfiltr_ptp_sp.sys,,3.882380723953247,0,0,0
ApHidFiltr_PTP_SP_1.sys,aphidfiltr_ptp_sp_1.sys,,3.8359475135803223,0,0,0
ApPS2.sys,apps2.sys,,3.8039116859436035,0,0,0
ApPS2_1.sys,apps2_1.sys,,3.819110870361328,0,0,0
ApPtpFiltr.sys,apptpfiltr.sys,,4.062542200088501,0,0,0
ApPtpFiltr_1.sys,apptpfiltr_1.sys,,4.1541547775268555,0,0,0
ApSmbDrv.sys,apsmbdrv.sys,,3.618285655975342,0,0,0
ApSmbDrv_1.sys,apsmbdrv_1.sys,,3.733278274536133,0,0,0
Apfiltr.sys,apfiltr.sys,,3.9125170707702637,0,0,0
Apfiltr_1.sys,apfiltr_1.sys,,3.8018136024475098,0,0,0
ApsX64.sys,apsx.sys,,3.8141489028930664,0,0,0
ApsX86.sys,apsx.sys,,3.789918899536133,0,0,0
AraLink.sys,aralink.sys,,3.4384348392486572,0,0,0
AsHIDSwitch64.sys,ashidswitch.sys,,4.422124624252319,0,0,0
AsIO32.sys,asio.sys,,4.825342655181885,0,0,0
AsIO64.sys,asio.sys,VULNERABLE,20.194637298583984,1,0,1
AsRadioControl.sys,asradiocontrol.sys,,4.01110315322876,0,0,0
AsusBSItf.sys,asusbsitf.sys,VULNERABLE,300.06657314300537,0,0,0
AsusConsumerDevFilter.sys,asusconsumerdevfilter.sys,no sinks found,5.0263237953186035,0,0,0
AsusDialPad.sys,asusdialpad.sys,no sinks found,4.670999526977539,0,0,0
AsusDigiFilter.sys,asusdigifilter.sys,no sinks found,4.682471990585327,0,0,0
AsusGamePad.sys,asusgamepad.sys,no sinks found,4.696410417556763,0,0,0
AsusHID.sys,asushid.sys,no sinks found,4.011003494262695,0,0,0
AsusKeyboardFilter.sys,asuskeyboardfilter.sys,no sinks found,5.2610204219818115,0,0,0
AsusNUMPADFilter.sys,asusnumpadfilter.sys,no sinks found,4.639028072357178,0,0,0
AsusPTPFilter.sys,asusptpfilter.sys,no sinks found,5.1572184562683105,0,0,0
AsusSAIO.sys,asussaio.sys,VULNERABLE,5.563385725021362,0,0,0
AsusSGDrv.sys,asussgdrv.sys,no sinks found,5.174998998641968,0,0,0
AsusScreenPadFilter.sys,asusscreenpadfilter.sys,no sinks found,5.123005151748657,0,0,0
AsusTP_1.sys,asustp_1.sys,timeout,300.0071654319763,0,0,0
AsusWirelessDigiFilter.sys,asuswirelessdigifilter.sys,no sinks found,5.721548318862915,0,0,0
AudezeUsbAudio.sys,audezeusbaudio.sys,no sinks found,35.64531946182251,0,0,0
AudezeUsbAudio_1.sys,audezeusbaudio_1.sys,no sinks found,36.009921073913574,0,0,0
AudezeUsbAudioks.sys,audezeusbaudioks.sys,,3.5563161373138428,0,0,0
AudezeUsbAudioks_1.sys,audezeusbaudioks_1.sys,,3.7036685943603516,0,0,0
AutoEjectCD_AMD64.sys,autoejectcd_amd.sys,no sinks found,4.950493335723877,0,0,0
AutoEjectCD_AMD64_1.sys,autoejectcd_amd64_1.sys,no sinks found,4.751713991165161,0,0,0
Averit13x.sys,averit13x.sys,,3.7942657470703125,0,0,0
Averit13x_1.sys,averit13x_1.sys,,3.769925355911255,0,0,0
Averit13x_x64.sys,averit13x.sys,,3.8040950298309326,0,0,0
Averit13x_x64_1.sys,averit13x_x64_1.sys,,3.9756484031677246,0,0,0
AvidDX.sys,aviddx.sys,,5.072123765945435,0,0,0
AvidDX_1.sys,aviddx_1.sys,,4.961344957351685,0,0,0
AwinicSmartKAmps.sys,awinicsmartkamps.sys,,3.821727752685547,0,0,0
AwinicSmartKAmps_1.sys,awinicsmartkamps_1.sys,,4.013416051864624,0,0,0
AxUsbEth.sys,axusbeth.sys,,3.7042324542999268,0,0,0
BTUSBx64.sys,btusb.sys,,4.18553614616394,0,0,0
BTUSBx64_1.sys,btusbx64_1.sys,,4.047177076339722,0,0,0
BTWL2CAP.sys,btwl2cap.sys,no sinks found,4.711503744125366,0,0,0
BTWL2CAP_1.sys,btwl2cap_1.sys,no sinks found,4.71928071975708,0,0,0
BTWMDEPS.sys,btwmdeps.sys,no sinks found,6.240792751312256,0,0,0
BTWMDEPS_1.sys,btwmdeps_1.sys,no sinks found,6.138860702514648,0,0,0
BXLVCom4Net.sys,bxlvcom4net.sys,no sinks found,4.621485710144043,0,0,0
BXLVCom4Net_1.sys,bxlvcom4net_1.sys,no sinks found,4.418298959732056,0,0,0
BcmNfcIc.sys,bcmnfcic.sys,,3.8762173652648926,0,0,0
BcmNfcIc7.sys,bcmnfcic7.sys,,3.7238004207611084,0,0,0
Bis13307.sys,bis13307.sys,,4.17631721496582,0,0,0
Bis4AA07.sys,bis4aa07.sys,,3.97748064994812,0,0,0
Bis50108.sys,bis50108.sys,,4.46632981300354,0,0,0
BisM1208.sys,bism1208.sys,,4.376826286315918,0,0,0
BisUM133.sys,bisum133.sys,,4.0761730670928955,0,0,0
BisUM4AA.sys,bisum4aa.sys,,4.131838321685791,0,0,0
BisUM4B1.sys,bisum4b1.sys,,4.305740594863892,0,0,0
BisUM4CA.sys,bisum4ca.sys,,4.151070594787598,0,0,0
