driver_name,normalized_driver_name,dp_drivers_pack_extended_sinks_signed_timeout300_run0,dp_drivers_pack_extended_sinks_signed_timeout300_run0_time_taken,dp_drivers_pack_extended_sinks_signed_timeout300_run0_handle_leak_count,dp_drivers_pack_extended_sinks_signed_timeout300_run0_handle_exposure_count,dp_drivers_pack_extended_sinks_signed_timeout300_run0_rw_primitive_count,dp_drivers_pack_extended_sinks_signed_timeout300_run1,dp_drivers_pack_extended_sinks_signed_timeout300_run1_time_taken,dp_drivers_pack_extended_sinks_signed_timeout300_run1_handle_leak_count,dp_drivers_pack_extended_sinks_signed_timeout300_run1_handle_exposure_count,dp_drivers_pack_extended_sinks_signed_timeout300_run1_rw_primitive_count,dp_drivers_pack_extended_sinks_signed_timeout300_run2,dp_drivers_pack_extended_sinks_signed_timeout300_run2_time_taken,dp_drivers_pack_extended_sinks_signed_timeout300_run2_handle_leak_count,dp_drivers_pack_extended_sinks_signed_timeout300_run2_handle_exposure_count,dp_drivers_pack_extended_sinks_signed_timeout300_run2_rw_primitive_count,dp_drivers_pack_extended_sinks_signed_timeout300_run5,dp_drivers_pack_extended_sinks_signed_timeout300_run5_time_taken,dp_drivers_pack_extended_sinks_signed_timeout300_run5_handle_leak_count,dp_drivers_pack_extended_sinks_signed_timeout300_run5_handle_exposure_count,dp_drivers_pack_extended_sinks_signed_timeout300_run5_rw_primitive_count
108B.sys,108b.sys,,4.024357080459595,0,0,0,,4.20834493637085,0,0,0,,4.127165794372559,0,0,0,,4.010895729064941,0,0,0
108B_VIRO_PLUS.sys,108b_viro_plus.sys,,3.995302200317383,0,0,0,,4.262918472290039,0,0,0,,4.363818407058716,0,0,0,,4.104259729385376,0,0,0
ABKOB1000R.sys,abkob1000r.sys,,3.7927350997924805,0,0,0,,4.0200300216674805,0,0,0,,4.486930847167969,0,0,0,,4.038618326187134,0,0,0
ABKOCH60.sys,abkoch60.sys,,3.765855312347412,0,0,0,,4.130886077880859,0,0,0,,4.424533367156982,0,0,0,,4.167045593261719,0,0,0
ACTIVhidmini.sys,activhidmini.sys,,3.631178617477417,0,0,0,,5.064804792404175,0,0,0,,6.690136432647705,0,0,0,,4.325385093688965,0,0,0
ADS1299_MIO4_x64.sys,ads1299_mio4.sys,no sinks found,6.5796544551849365,0,0,0,no sinks found,6.476806163787842,0,0,0,no sinks found,9.324447393417358,0,0,0,no sinks found,11.595516204833984,0,0,0
AE1200w7.sys,ae1200w7.sys,,3.9998397827148438,0,0,0,,3.96909499168396,0,0,0,,4.168635129928589,0,0,0,,3.9227497577667236,0,0,0
AE1200w764.sys,ae1200w7.sys,,4.220209360122681,0,0,0,,3.8877110481262207,0,0,0,,4.217134475708008,0,0,0,,3.959158420562744,0,0,0
AGV.sys,agv.sys,,3.633343458175659,0,0,0,,3.9495348930358887,0,0,0,,5.097193241119385,0,0,0,,3.6407408714294434,0,0,0
AKCCID.sys,akccid.sys,timeout,300.3480312824249,0,0,0,timeout,300.27814269065857,0,0,0,timeout,300.39103412628174,0,0,0,timeout,300.3185017108917,0,0,0
AKCCID_1.sys,akccid_1.sys,timeout,300.34847927093506,0,0,0,timeout,300.2469787597656,0,0,0,timeout,300.474782705307,0,0,0,timeout,300.3458802700043,0,0,0
AKPEE5UA.sys,akpee5ua.sys,,4.188206434249878,0,0,0,,3.6484286785125732,0,0,0,,5.4409942626953125,0,0,0,,3.459263801574707,0,0,0
AKPEE5UA_1.sys,akpee5ua_1.sys,,3.9769415855407715,0,0,0,,3.7708754539489746,0,0,0,,5.420852184295654,0,0,0,,3.495518445968628,0,0,0
AMBFilt.sys,ambfilt.sys,no sinks found,61.48983311653137,0,0,0,no sinks found,53.44911789894104,0,0,0,no sinks found,52.216585636138916,0,0,0,no sinks found,52.15770435333252,0,0,0
AMBFilt_1.sys,ambfilt_1.sys,no sinks found,49.730225563049316,0,0,0,no sinks found,43.55857014656067,0,0,0,no sinks found,54.74501585960388,0,0,0,no sinks found,47.3137423992157,0,0,0
AMBFt64.sys,ambft.sys,no sinks found,12.444121360778809,0,0,0,no sinks found,10.80263066291809,0,0,0,no sinks found,14.076862812042236,0,0,0,no sinks found,12.421915292739868,0,0,0
AMBFt64_1.sys,ambft64_1.sys,no sinks found,11.670969486236572,0,0,0,timeout,300.0262944698334,0,0,0,no sinks found,12.319897890090942,0,0,0,no sinks found,10.760778188705444,0,0,0
AMDCIR.sys,amdcir.sys,no sinks found,4.90971302986145,0,0,0,no sinks found,4.6204893589019775,0,0,0,no sinks found,7.295318841934204,0,0,0,no sinks found,6.8245909214019775,0,0,0
AMDCIR64.sys,amdcir.sys,timeout,300.0654971599579,0,0,0,timeout,300.01004695892334,0,0,0,timeout,300.03522539138794,0,0,0,timeout,300.01491379737854,0,0,0
AMDPCIDev.sys,amdpcidev.sys,timeout,300.09404730796814,0,0,0,timeout,300.09907507896423,0,0,0,timeout,300.07869720458984,0,0,0,timeout,300.13466596603394,0,0,0
AMDRyzenMasterDriver.sys,amdryzenmasterdriver.sys,timeout,300.07273983955383,0,0,0,timeout,300.04378294944763,0,0,0,timeout,300.0849070549011,0,0,0,timeout,300.02209520339966,0,0,0
AMDXgbe.sys,amdxgbe.sys,,3.6654300689697266,0,0,0,,3.195195198059082,0,0,0,,50.72066020965576,0,0,0,,3.5236735343933105,0,0,0
AMS-MailBoxDrv.sys,ams-mailboxdrv.sys,,3.4812724590301514,0,0,0,,3.415367364883423,0,0,0,,5.58486008644104,0,0,0,,3.725769281387329,0,0,0
ANXUcmCxCD.sys,anxucmcxcd.sys,,3.9242048263549805,0,0,0,,3.5090978145599365,0,0,0,,5.735970497131348,0,0,0,,4.017485618591309,0,0,0
AR6KNWF8.sys,ar6knwf8.sys,,4.409605503082275,0,0,0,,4.1645402908325195,0,0,0,,4.360388517379761,0,0,0,,3.9892067909240723,0,0,0
AR6KNWF81.sys,ar6knwf81.sys,,4.17391037940979,0,0,0,,4.333919286727905,0,0,0,,4.3309006690979,0,0,0,,3.9785895347595215,0,0,0
ASEDRV3.sys,asedrv3.sys,no sinks found,6.917052984237671,0,0,0,no sinks found,6.75550389289856,0,0,0,no sinks found,11.766024827957153,0,0,0,no sinks found,10.337462425231934,0,0,0
ASEDRV3_1.sys,asedrv3_1.sys,no sinks found,6.916959047317505,0,0,0,no sinks found,6.521924018859863,0,0,0,no sinks found,12.396677732467651,0,0,0,no sinks found,12.199007272720337,0,0,0
ASEDRV3_32.sys,asedrv3.sys,,4.376197338104248,0,0,0,,3.860548257827759,0,0,0,,7.094578504562378,0,0,0,,7.393427133560181,0,0,0
ASEDRV3_32_1.sys,asedrv3_32_1.sys,,4.135330677032471,0,0,0,,3.9734878540039062,0,0,0,,5.709788084030151,0,0,0,,7.233560562133789,0,0,0
